,text,state,probability,biased words,suggestion
0,Swiss voters will head to the polls to decide whether homophobia � hate crimes or discrimination based on sexual orientation �should be criminalized.,Non-biased,0.918929398059845,homophobia,
1,"Unbelievably, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.",Biased,0.9952906966209412,Unbelievably,"yet, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.

but, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.

unfortunately, with all they had seen their child suffer, his parents not only refused the doctor�s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed."
2,"And while states like Massachusetts�among others�automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy",Biased,0.8943206071853638,,
3,"Oxford chose ""climate emergency"" as the word of the year from a short list of words that were all related to the environment, such as climate crisis, eco-anxiety, ecocide, global heating and climate action.",Non-biased,0.9609095454216003,,
4,"This, of course, was before the president ignored his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a brutal offensive against our Kurdish allies.",Biased,0.9953726530075073,"ignored, brutal","This, of course, was before the president disbanded his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a major offensive against our Kurdish allies.

This, of course, was before the president mobilized his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a military offensive against our Kurdish allies.

This, of course, was before the president assembled his national security team, withdrew U.S. forces from northern Syria, and effectively invited Turkey to launch a new offensive against our Kurdish allies."
5,Polling for the Democratic nomination tells a depressing story for those seeking to break the glass ceiling and make the ultimate stand against patriarchy: the top contenders for the Democratic nomination are currently all white men.,Non-biased,0.5485150814056396,"depressing, ultimate",
6,"In another clip, the group can be seen scrambling for their cars after sirens go off, a newly added security feature.",Non-biased,0.9800612926483154,scrambling,
7,"Across the United States, legislators are attempting to pass laws forcing parents to vaccinate their children and/or removing existing exemptions from current vaccine laws.",Non-biased,0.7551159262657166,forcing,
8,"Donald Trump appeared to make some important news via Twitter last night, announcing a dramatic new plan to use Immigration and Customs Enforcement (ICE) agents to remove �millions� of people from American soil.",Non-biased,0.6202787160873413,dramatic,
9,Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.,Biased,0.8042038083076477,predatory,"Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from entering for-profit colleges will only lead to even more student defaulting on their loans.

Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from joining for-profit colleges will only lead to even more student defaulting on their loans.

Proponents of stricter protections for students argue the DOE�s recent rollback of Obama-era rules aimed at protecting students from funding for-profit colleges will only lead to even more student defaulting on their loans."
